City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Puro,PH,2021-03-24 23:23:14,12.4841,123.3827,78.85,83,97,11.97
279,Bethel,US,2021-03-24 23:23:14,41.3712,-73.414,51.01,90,100,1.01
280,Karema,TZ,2021-03-24 23:23:15,-6.8205,30.4389,69.71,88,35,5.57
281,Granada,ES,2021-03-24 23:23:15,37.25,-3.25,53.01,45,1,1.99
282,Davila,PH,2021-03-24 23:23:15,18.4726,120.5763,78.8,83,20,2.3
283,Tautira,PF,2021-03-24 23:23:16,-17.7333,-149.15,87.8,66,75,8.05
284,Vila,PT,2021-03-24 23:23:16,42.0304,-8.1588,43.0,84,76,3.0
285,Apac,UG,2021-03-24 23:23:16,1.9756,32.5386,70.86,38,98,3.47
286,Villaviciosa,ES,2021-03-24 23:23:16,43.4813,-5.4357,52.0,69,100,1.81
287,Seydi,TM,2021-03-24 23:23:17,39.4816,62.9137,67.3,38,99,15.43
288,Dillon,US,2021-03-24 23:23:17,34.4166,-79.3712,73.99,68,90,5.55
289,Zhezkazgan,KZ,2021-03-24 23:23:17,47.8043,67.7144,20.53,83,97,7.54
290,Oksfjord,NO,2021-03-24 23:23:18,70.2396,22.3479,39.2,60,20,11.5
291,Teguise,ES,2021-03-24 23:23:18,29.0605,-13.564,73.4,21,0,9.22
292,Codrington,AU,2021-03-24 23:23:18,-38.2667,141.9667,60.15,78,75,14.23
