City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
287,Pitimbu,-7.4706,-34.8086,82.4,78,20,9.22,BR,few clouds
288,Russell,32.3502,-85.1999,84.99,54,75,10.36,US,broken clouds
289,Kodinsk,58.6881,99.1844,20.68,97,100,3.62,RU,light snow
290,Ancud,-41.8697,-73.8203,66.99,59,0,5.75,CL,clear sky
291,Turka,49.1541,23.0297,50.0,51,99,5.55,UA,overcast clouds
292,Singaraja,-8.112,115.0882,78.82,81,51,3.29,ID,broken clouds
293,Provideniya,64.3833,-173.3,-0.49,97,100,4.7,RU,overcast clouds
294,Ekhabi,53.5102,142.9671,14.72,87,8,9.48,RU,clear sky
295,Dodge City,37.7528,-100.0171,60.8,41,1,23.02,US,clear sky
296,Ulladulla,-35.35,150.4667,59.0,100,90,3.44,AU,overcast clouds
297,Winslow,35.0242,-110.6974,55.99,40,40,5.75,US,scattered clouds
298,Koulamoutou,-1.1303,12.4736,74.12,85,97,0.92,GA,overcast clouds
299,Port Macquarie,-31.4333,152.9167,61.0,85,4,5.01,AU,clear sky
300,Kedrovyy,56.1667,91.8167,24.8,74,0,2.48,RU,clear sky
301,Katherine,-14.4667,132.2667,75.2,88,40,5.75,AU,scattered clouds
302,Krasnoborsk,61.5598,45.934,29.79,94,100,1.63,RU,overcast clouds
303,Suntar,62.1444,117.6319,17.82,95,98,5.41,RU,overcast clouds
304,Edd,13.9297,41.6925,78.49,69,3,3.85,ER,clear sky
305,Brenham,30.1669,-96.3977,81.0,74,75,13.8,US,broken clouds
306,Quatre Cocos,-20.2078,57.7625,78.01,83,75,5.75,MU,broken clouds
307,Bagdarin,54.4333,113.6,11.25,91,99,5.73,RU,overcast clouds
308,Chivana,15.75,-87.9833,91.99,46,20,10.36,HN,few clouds
309,Banjarmasin,-3.3244,114.591,75.2,100,100,2.3,ID,overcast clouds
310,Almaty,43.25,76.95,48.2,93,90,2.24,KZ,mist
311,Maceio,-9.6658,-35.7353,75.2,94,75,5.75,BR,broken clouds
312,Nakhon Pathom,13.9833,100.0833,88.0,65,100,8.39,TH,overcast clouds
313,Kaifeng,34.7911,114.3483,53.6,100,0,4.47,CN,mist
314,Sesheke,-17.4759,24.2968,66.76,91,100,1.88,ZM,overcast clouds
315,Gayny,60.3071,54.3241,14.09,97,41,4.07,RU,scattered clouds
316,Yerbogachen,61.2767,108.0108,11.05,97,100,4.72,RU,overcast clouds
317,Inuvik,68.3499,-133.7218,-5.8,64,98,5.75,CA,overcast clouds
318,Anadyr,64.75,177.4833,-5.01,77,0,4.47,RU,clear sky
319,Sandwick,60.0,-1.25,42.8,70,40,21.85,GB,scattered clouds
320,San Andres,12.5847,-81.7006,86.0,66,20,14.97,CO,few clouds
321,Roald,62.5833,6.1333,39.2,87,75,9.22,NO,broken clouds
322,Sioux Lookout,50.1001,-91.917,35.6,44,75,11.5,CA,broken clouds
323,Sinjai,-5.1241,120.253,74.73,91,100,2.98,ID,overcast clouds
324,Riyadh,24.6877,46.7219,78.8,15,64,18.41,SA,dust
325,Barcelona,41.3888,2.159,57.0,76,20,2.3,ES,few clouds
326,Mandalgovi,45.7625,106.2708,20.98,62,4,13.47,MN,clear sky
327,Antalaha,-14.9003,50.2788,75.49,92,100,5.64,MG,overcast clouds
328,Vikulovo,56.8167,70.6107,31.77,97,100,9.48,RU,light snow
329,Bermejo,-32.8833,-68.8,73.4,31,0,3.44,AR,clear sky
330,Montes Altos,-5.8333,-47.0667,87.8,70,20,9.22,BR,few clouds
331,Oktyabrskoye,43.0645,44.7417,44.6,61,100,4.47,RU,overcast clouds
332,Smidovich,48.6,133.8167,32.47,97,100,8.48,RU,overcast clouds
333,Salalah,17.0151,54.0924,80.6,41,0,4.61,OM,clear sky
334,Mamontovo,52.7055,81.6244,33.66,93,100,13.4,RU,overcast clouds
335,Arkhangelsk,64.5401,40.5433,28.4,80,0,4.47,RU,clear sky
336,Coquimbo,-29.9533,-71.3436,62.6,72,20,11.5,CL,few clouds
337,Cheney,47.4874,-117.5758,54.0,53,75,11.5,US,broken clouds
338,Ko Samui,9.5357,99.9357,82.58,77,85,9.57,TH,overcast clouds
339,Guerrero Negro,27.9769,-114.0611,73.27,29,0,12.39,MX,clear sky
340,Kiama,-34.6833,150.8667,60.01,89,20,1.01,AU,few clouds
341,Te Anau,-45.4167,167.7167,57.2,95,100,1.25,NZ,overcast clouds
342,Dingle,10.9995,122.6711,75.38,89,92,6.76,PH,overcast clouds
343,Santiago Del Estero,-27.7951,-64.2615,76.17,31,0,12.26,AR,clear sky
344,Ahipara,-35.1667,173.1667,65.79,92,100,12.62,NZ,moderate rain
345,Aras,42.5617,-2.356,50.0,76,0,1.3,ES,clear sky
346,Agadez,19.75,10.25,67.59,17,0,10.6,NE,clear sky
